Mir ist langweilig. Was könnte ich machen?	Dosadno mi je. Šta bih mogao da radim?
Das Wetter ist so schön. Was könnten wir unternehmen?	Vreme je tako lepo. Šta bi smo mogli poduzeti?
Ich würde lieber im Garten grillen.	Radije bih roštiljao u bašti.
Ich rufe dich wieder an.	Nazvat ću te opet.
warte mal	čekaj malo
vielen Dank für die Einladung	hvala na pozivu
Wir haben uns lange nicht gesehen.	Dugo se nismo videli.
Das kostet wenigstens 300 Euro.	To košta barem 300 evra.
Wenigstens regnet es nicht mehr.	Barem više ne pada kiša.
jetzt weiß ich wenigstens, warum	sada bar znam zašto
Wäsche bügeln.	Peglati veš.
sie hat den ganzen Morgen gebügelt	Ona je celo jutro peglala
Nimm Dir Zeit zum Träumen, das ist der Weg zu den Sternen.	Odvoj vreme za spavanje, to je put do zvezda.
Wofür nimmst du dir am Samstag Zeit?	Za šta odvajaš vreme u nedelju?
Endlich hab ich meine Ruhe.	Napokon imam svoj mir.
Endlich kommt der Bus!	Napokon dolazi autobus.
Mir wäre das zu langweilig.	Meni bi to bilo previše dosadno.
Er ruht sich am liebsten nur aus.	On se najradije samo odmara.
Achtung: Manchmal gibt es mehrere Lösungen.	Pažnja: ponekad postoji nekoliko rešenja.
