Als ich bei Aldi war, habe ich meine Ex-Freundin getroffen.	Kada sam bio kod Aldija, upoznao sam svoju bivšu devojku.	als
Du hast mich angerufen, als ich gerade gehen wollte.	Ti si ne nazvao, upravo kada sam hteo da idem.	als
Als ich in Paris gewohnt habe, habe ich oft Wein getrunken.	Kada sam živeo u Parizu, često sam pio vino.	als
als er eintrat, las ich ein Buch	kada je on ušao, čitao sam jednu knjigu	als
zu der Zeit, als seine Eltern noch lebten	u vreme, kada su mu roditelji još bili živi	als
Als ich 10 war, hatte ich eine Katze.	Kada sam bio 10, imao sam jednu mačku.
---	---	---
Reiten ist schwerer als ich dachte.	Jahanje je teže nego što sam mislio.	als
eher heute als morgen	rađe danas nego sutra	als
lieber sterben als unfrei sein	radije umreti nego neslobodan biti	als
anders, als ich es mir gedacht hatte	drukčije, nego što sam zamišljao	als
ich bin älter als er	ja sam stariji od njega	als
---	---	---
Als Tierarzt muss man sehr viel über Pferde wissen.	Kao veterinar mora čovek veoma mnogo da zna o konjima.	als
Du kannst diese Decke als Sattel benutzen.	Ti možeš ovo ćebe kao sedlo koristiti.	als
Als erstes füttere ich mein Pferd.	Kao prvo hranim ja svog konja.	als
Als zweites kämme ich seine Mähne.	Kao drugo češljam ja njegovu grivu.	als
er wurde als Sohn eines Arbeiters geboren	on se rodio kao sin radnika (pasiv)	als
es sieht so aus, als ob es regnen wollte	izgleda tako, kao da hoće da pada kiša	als
mir kam es vor, als ob ich schon Stunden gewartet hätte	činilo mi se, kao da sam već satima čekao	als
als ob es etwas Neues gewesen wäre!	kao da je to bilo nešto novo!	als
ich habe als Mädchen immer davon geträumt	ja sam kao devojka uvek otom sanjala	als
---	---	---
Mit meinem neuen Handy habe ich nichts als Ärger.	Sa mojim novim mobilnim nemam ništa sem problema.	als
Der Film war alles andere als spannend.	Film je bio sve drugo sem uzbudljiv.	als
