er fragte, ob sie schon da sei	on je pitao, da li je ona već tu	ob
Ich weiß nicht, ob ich Zeit habe.	Ne znam da li imam vremena.	ob
Ob er mich liebt?	Da li on mene voli?	ob
sie mussten sich fügen, ob es ihnen passte oder nicht	morali su se potčiniti, bilo da im to odgovara ili ne	ob
---	---	---
er fragte sie, ob sie noch käme	pitao ju je, hoće li doći	ob
ob es wohl regnen wird?	hoće li kiša?	ob
ob Arm, ob Reich, ob Mann, ob Frau, alle waren betroffen	bilo siromašan, bilo bogat, bilo muško, bilo žensko, svi si bili pogođeni	ob
---	---	---
"Kommst du mit?" – "Und ob!"	"Ideš li sa nama?" – "I te kako!"	ob
"Kann ich zu deiner Geburtstagsparty kommen?" – "Und ob!"	"Can I come to your birthday party?" – "Of course!"	ob
"Ich habe dein letztes Bier nicht getrunken." – "Und ob du das hast. Ich habe Beweise."	"I did not drink your last  beer." – "Oh, You so did! I have evidence."	ob
---	---	---
Du siehst aus als ob du etwas Schlaf gebrauchen könntest.	You look as if you could use some sleep.	ob
er tut so, als ob er müde wäre	pravi se, kao da je umoran	ob
---	---	---
Ob des starken Regens wurde das Fussballspiel abgesagt.	Wegen dem starken Regen wurde das Fussballspiel abgesagt.	ob
sie fielen ob ihrer sonderbaren Kleidung auf	isticali su se zbog svoje čudne odeće	ob
